criterion;direction;;;;;
c1;1;;;;;
c2;1;;;;;
c3;1;;;;;
c4;1;;;;;
c5;1;;;;;
;;;;;;
category;rank;;;;;
4;1;;;;;
3;2;;;;;
2;3;;;;;
1;4;;;;;
;;;;;;
pt;c1;c2;c3;c4;c5;assignment
a1;0.005411;0.020905;0.113684;0.024961;0.223881;2
a2;0.091506;0.114785;0.084211;0.074103;1;2
a3;0.209875;0.931965;0.315789;0.0039;1;4
a4;0.064161;0.098062;0.041053;0.076443;1;2
a5;0.010919;0.041049;0;0.063963;0.671642;2
a6;0.066576;0.172558;0.055789;0.173167;0.328358;2
a7;0;0.193463;0.068421;0.020281;0.014925;3
a8;0.001739;0.114785;0.092632;0.022621;0.089552;2
a9;0.274229;0.428354;0.274737;0.190328;1;4
a10;0.003189;0.049031;0.032632;0.046022;0.432836;1
a11;0.028602;0.120106;0.121053;0.036661;0.820896;2
a12;0.002706;0.161916;0.031579;0.021841;0.268657;2
a13;0.263021;0.334854;0.183158;0.031981;1;4
a14;0.137888;0.039529;0.095789;0.064743;1;2
a15;0.084549;0.343976;0.131579;0.033541;1;1
a16;0.10861;0.233371;0.086316;0.053042;1;3
a17;0.102908;0.346256;0.047368;0.013261;1;4
a18;0.006764;0.1813;0.033684;0.020281;0.298507;2
a19;0.020968;0.151273;0.12;0.023401;0.522388;2
a20;0.590105;1;0.654737;0.024961;1;4
a21;0.055947;0.191942;0.231579;0.035101;0.880597;2
a22;0.003962;0.163436;0.030526;0.023401;0.343284;1
a23;0.111508;0.113645;0.048421;0.098284;1;2
a24;0.017006;0.194603;0.095789;0.021841;0.328358;2
a25;0.381873;0.703915;1;0.042902;1;4
a26;0.046575;0.047891;0.06;0.092044;0.985075;2
a27;0.020195;0.141391;0.030526;0.022621;1;2
a28;0.03382;0.177499;0.215789;0.026521;1;2
a29;0.007247;0.309008;0.062105;0.00936;0.58209;2
a30;0.226012;0.895477;0.912632;0.0078;1;4
a31;0.060392;0.071836;0.026316;0.057722;1;2
a32;0.013335;0.025086;0.051579;0.059282;0.462687;1
a33;0.099237;0.192702;0.071579;0.087363;1;3
a34;0.054401;0.333333;0.210526;0.050702;0.402985;4
a35;0.14127;0.185481;0.112632;0.039782;1;3
a36;0.045415;0.086659;0.085263;0.044462;1;2
a37;0.017006;0.093501;0;0.041342;0.477612;1
a38;0.003092;0.123147;0.055789;0.01092;0.38806;2
a39;0.086385;0.201824;0.125263;0.028861;1;3
a40;0.089574;0.291524;0.326316;0.018721;1;4
a41;0.183109;0.071836;0.062105;0.232449;0.880597;2
a42;0.022514;0.133409;0.091579;0.014041;0.597015;3
a43;0.011499;0.166097;0.058947;0.024181;0.283582;3
a44;0.019615;0.482706;0.290526;0.041342;0.074627;3
a45;0.182336;0.354618;0.150526;0.056162;1;4
a46;0.455889;0.983656;0.816842;0.034321;1;4
a47;0.124843;0.294185;0.145263;0.046802;1;3
a48;0.071504;0.09198;0.003158;0.226989;0.089552;2
a49;0.039907;0.017864;0.035789;0.063963;1;2
a50;0.138467;0.077537;0.048421;0.114665;1;1
a51;0.017103;0.132649;0.056842;0.039782;0.522388;2
a52;0.079235;0.193082;0.116842;0.059282;0.850746;3
a53;0.024157;0.293805;0.12;0.078003;0.014925;3
a54;0.00947;0.166097;0.110526;0.01092;0.477612;3
a55;0.327954;0.102242;0.095789;0.24493;1;2
a56;0.001353;0.222729;0.138947;0.025741;0.253731;2
a57;0.014591;0.426074;0;0.01014;0.373134;3
a58;0.027152;0.048271;0.077895;0.186427;0.119403;1
