criterion,direction,,,,,
c1,1,,,,,
c2,1,,,,,
c3,1,,,,,
c4,1,,,,,
,,,,,,
category,rank,,,,,
cat2,1,,,,,
cat1,2,,,,,
,,,,,,
pt,c1,c2,c3,c4,score,assignment
a1,1,0.5,0.75,0,3,cat2
a2,0.75,0.75,0,0.75,3,cat2
a3,0.5,1,0.25,0,2,cat1
a4,0.5,0.25,0.5,0.75,2,cat1
a5,0.5,0.75,1,0.5,2,cat1
a6,0,0.25,0.25,0,0,cat1
a7,0.25,0.5,0.5,0.25,2,cat1
a8,1,0.5,1,0.75,3,cat2
a9,0.75,0.75,0.75,0.25,2,cat1
a10,0,1,1,0.25,2,cat1
a11,0.5,1,0,0.75,4,cat2
a12,0.5,0.25,0.5,0,1,cat1
a13,0,0,1,0,0,cat1
a14,0.25,1,0.5,0.25,2,cat1
a15,1,0.5,0.75,0,2,cat1
a16,0,0.5,0,0,1,cat1
a17,1,0,0,0.5,2,cat1
a18,0.75,0.25,0.5,0.5,1,cat1
a19,0,0.5,0,0,0,cat1
a20,1,0,0.75,0,1,cat1
a21,0,1,1,0.25,3,cat2
a22,0,0.5,1,1,2,cat1
a23,0,1,1,1,3,cat2
a24,0,0.5,0.25,0.5,2,cat1
a25,0.5,0.5,0,1,2,cat1
a26,0.5,0.25,0.5,0,1,cat1
a27,0.5,0.5,0.5,0.75,2,cat1
a28,0.5,1,1,1,4,cat2
a29,0,0.5,0,0.25,1,cat1
a30,0.25,0.25,0.25,0.5,1,cat1
a31,1,0.75,0.5,0,2,cat1
a32,0,0.25,0.5,0.5,2,cat1
a33,0.5,0.5,0.25,1,2,cat1
a34,1,0.5,1,0.5,2,cat1
a35,0.25,0.25,0.25,0.5,1,cat1
a36,1,0.25,0.75,0.25,2,cat1
a37,0.75,1,0.25,0.5,4,cat2
a38,0.5,0.5,0,0,2,cat1
a39,1,0.5,0.75,0.25,1,cat1
a40,0.75,0.25,0.5,0,1,cat1
a41,0.25,0.25,1,0.25,1,cat1
a42,0.25,0.5,0,1,2,cat1
a43,0.5,0.5,0.5,0.75,2,cat1
a44,0.5,0.75,1,0.5,2,cat1
a45,1,0,0,1,1,cat1
a46,0.25,0.25,1,0.25,1,cat1
a47,1,0.25,0.25,1,3,cat2
a48,0.75,1,0.75,0,4,cat2
a49,0,0.5,0.25,0.5,1,cat1
a50,1,0.5,0.75,0,2,cat1
a51,0.25,0.5,0.75,0,1,cat1
a52,0.25,0,0.75,0.25,0,cat1
a53,1,0.5,0.75,0,3,cat2
a54,0.25,0,1,1,1,cat1
a55,1,0,1,0.75,4,cat2
a56,0.75,0.75,0,0.75,3,cat2
a57,0.25,0.25,0.25,0.5,1,cat1
a58,0.75,0,0.5,1,2,cat1
a59,0.75,0,0.5,1,1,cat1
a60,0.25,1,0.5,0.25,2,cat1
a61,0,0.5,0.25,0.75,1,cat1
a62,0.5,0.5,0.75,0.75,3,cat2
a63,0.25,0.75,0,0.25,1,cat1
a64,0.5,0.75,0.5,1,2,cat1
a65,0.5,0.75,0.5,1,3,cat2
a66,0.75,0.25,0.5,0.5,2,cat1
a67,0.5,1,0,0.75,2,cat1
a68,0.75,0.75,0,0.75,3,cat2
a69,0,1,1,0.5,1,cat1
a70,0.5,1,0,0.75,3,cat2
a71,0.25,0.5,0.75,0.5,2,cat1
a72,0.5,0.75,0.5,1,4,cat2
a73,0.5,0,0,0,0,cat1
a74,0.5,0.25,0.5,0,1,cat1
a75,1,0,0.75,0,2,cat1
a76,0.75,0.25,0.25,0,0,cat1
a77,0.25,0,0.5,0.5,0,cat1
a78,1,0,0,0.5,2,cat1
a79,0.25,0.25,1,0.25,1,cat1
a80,0.5,0.25,0.25,0.5,1,cat1
a81,0.5,0.5,0,1,2,cat1
a82,0,0.5,0,0.25,1,cat1
a83,0,0.5,0.25,0.5,2,cat1
a84,0.25,0.5,1,0.5,2,cat1
a85,0,0.5,0,0.25,0,cat1
a86,1,0.75,0.5,0,2,cat1
a87,0.25,0.75,0,0.25,1,cat1
a88,0.5,0,0,0,0,cat1
a89,1,0,1,0.75,3,cat2
a90,0.5,0.5,0.75,0.75,2,cat1
a91,0,0.5,0.75,0.75,1,cat1
a92,0,0.5,0.25,0.75,1,cat1
a93,0.75,0.75,1,0.25,3,cat2
a94,0.25,0.5,0,1,2,cat1
a95,0.5,0.5,0.75,0.5,2,cat1
a96,0.75,0.25,0.5,0.5,2,cat1
a97,0.5,1,0.5,0.25,3,cat2
a98,0,0.25,0.5,0.5,1,cat1
a99,0.5,0.75,0.5,0.75,3,cat2
a100,0.5,1,0,0.75,3,cat2
a101,0.25,0.25,0.25,0.5,0,cat1
a102,0,0.75,0.75,0,3,cat2
a103,0,0.5,0,0,1,cat1
a104,0.5,0.75,0.5,1,2,cat1
a105,0.5,0.5,0.25,1,2,cat1
a106,0.5,0.5,0.75,0.75,1,cat1
a107,0,0.75,0.75,0,1,cat1
a108,0.5,0.5,0.75,0.75,2,cat1
a109,1,0.25,0,0.5,2,cat1
a110,0.75,1,0.5,0.5,1,cat1
a111,0,1,0.5,0.75,3,cat2
a112,0,0,1,0,0,cat1
a113,1,0.25,0.75,0.25,2,cat1
a114,0,0.75,0.5,1,2,cat1
a115,0.5,1,1,1,3,cat2
a116,0,0.75,1,1,2,cat1
a117,0.5,1,0,0.75,2,cat1
a118,0.5,0.5,0.75,0.75,2,cat1
a119,0.5,0.5,0.75,0.75,2,cat1
a120,0.5,1,0.75,0.5,3,cat2
a121,0.5,0.25,0.5,0.75,2,cat1
a122,0.5,0.25,0.5,0.75,1,cat1
a123,1,0.5,1,0.5,3,cat2
a124,0.5,1,0,0.5,2,cat1
a125,0,0.5,0.25,0.5,1,cat1
a126,0.25,0.5,0.75,0.5,2,cat1
a127,0.25,1,0,1,3,cat2
a128,0,0,0.25,1,1,cat1
a129,1,0,1,0.75,3,cat2
a130,0.75,1,0.5,0.5,2,cat1
a131,0.5,0.5,0,0,1,cat1
a132,0.25,0,0.75,0.25,0,cat1
a133,1,0.25,0.25,1,1,cat1
a134,1,0.5,1,0.5,3,cat2
a135,0.5,1,0.25,0,2,cat1
a136,1,0,0,0.5,2,cat1
a137,0,1,1,1,3,cat2
a138,0.5,0.5,0,1,2,cat1
a139,1,0.25,0.75,0.25,2,cat1
a140,0,0.75,1,0,1,cat1
a141,1,0.25,0,0.5,1,cat1
a142,0.25,0.25,0.25,0.5,1,cat1
a143,0.5,0,0,0,0,cat1
a144,0,1,0.5,0.75,2,cat1
a145,0.75,0.25,0.25,0,1,cat1
a146,0.5,1,0,0.75,3,cat2
a147,1,0.75,1,0.75,3,cat2
a148,0.5,1,0.75,0.5,3,cat2
a149,0,0.25,0.25,0,0,cat1
a150,1,0.5,1,0.75,3,cat2
a151,0,0,0.25,1,0,cat1
a152,0.5,0.25,0.25,0.5,1,cat1
a153,0.5,0.5,0,1,2,cat1
a154,0,0.5,0,0,1,cat1
a155,0.75,0.75,0,0.75,3,cat2
a156,0.75,0.25,0.5,0,1,cat1
a157,0.5,0.5,0,0,2,cat1
a158,0.25,0,0.75,0.25,1,cat1
a159,0.25,0.75,0,0.25,2,cat1
a160,1,0.25,0,0.5,2,cat1
a161,0.25,0.5,0,1,1,cat1
a162,0.25,0.5,0.75,0.5,2,cat1
a163,0.5,0,1,0.75,3,cat2
a164,0.5,0,1,0.75,2,cat1
a165,0.25,0.25,1,0.25,1,cat1
a166,0.25,0,0.5,0.5,1,cat1
a167,0.25,0.5,0.5,0.25,2,cat1
a168,1,0,0,1,1,cat1
a169,0.75,0.25,0.5,0.5,2,cat1
a170,0.5,1,0,0.5,2,cat1
a171,0.25,0.25,0.25,0.5,1,cat1
a172,0.75,0.75,1,0.25,3,cat2
a173,0.25,0.5,0.75,0,1,cat1
a174,0,0.75,0.75,0,2,cat1
a175,0.75,0.25,0.5,0,1,cat1
a176,1,0.25,0.75,0.25,1,cat1
a177,0.25,0.25,1,0.5,1,cat1
a178,0.75,0.25,0.5,0.5,1,cat1
a179,1,0,0,0.5,1,cat1
a180,0,0.5,0.25,0.5,1,cat1
a181,0,0,0.25,1,1,cat1
a182,1,0,1,0.25,0,cat1
a183,0,0.5,0,0,1,cat1
a184,0,0.25,1,0.75,1,cat1
a185,0.75,1,1,0,3,cat2
a186,0.5,0.75,0.5,1,2,cat1
a187,0.75,1,0.75,0,4,cat2
a188,0.5,0.75,0.5,0.75,2,cat1
a189,0,0.5,0,0,1,cat1
a190,1,0.25,0.25,1,2,cat1
a191,0.25,0,0.5,0.5,1,cat1
a192,0,0.5,0,0,1,cat1
a193,0.5,1,0.5,0.25,1,cat1
a194,0.5,1,0.5,0.25,2,cat1
a195,0.25,0.5,0.5,0.25,1,cat1
a196,0.25,0.25,1,0.25,0,cat1
a197,0,0,0.75,0,0,cat1
a198,0.5,0.5,0,1,2,cat1
a199,0.5,1,0.75,0.5,3,cat2
a200,0,1,1,0.5,3,cat2
a201,0.5,0.5,0,1,2,cat1
a202,0.75,0.75,0.75,0.25,2,cat1
a203,0.5,0.5,0.75,0.75,2,cat1
a204,0.5,1,0.75,0.5,3,cat2
a205,0.5,0.5,0.75,0.5,2,cat1
a206,0,1,1,1,3,cat2
a207,0.5,0.75,0.5,1,2,cat1
a208,1,0.5,0.75,0,3,cat2
a209,0.5,1,0.75,0.5,0,cat1
a210,0.5,0.25,0.5,0.75,1,cat1
a211,0.25,0.5,0.75,0.5,2,cat1
a212,1,0,0,1,1,cat1
a213,0.75,0,0.5,1,1,cat1
a214,1,0,1,0.75,4,cat2
a215,0.25,0.75,0,0.25,1,cat1
a216,0,0.75,1,0,2,cat1
a217,0.5,0,1,0.75,2,cat1
a218,1,0.75,0.5,0,3,cat2
a219,1,0.5,0.75,0.25,2,cat1
a220,0.75,0.75,0,0.5,3,cat2
a221,0.5,0.75,0.5,0.75,3,cat2
a222,0.25,0,0.25,0.75,1,cat1
a223,0.5,0.25,0.25,0.5,1,cat1
a224,0,1,0.5,0.75,0,cat1
a225,0.25,0.5,0.75,0,1,cat1
a226,0,0.5,0,0.25,1,cat1
a227,0,0.25,0.5,0.5,1,cat1
a228,0.25,0,1,1,4,cat2
a229,0.75,0.75,0,0.5,2,cat1
a230,0,0.5,0.25,0.75,1,cat1
a231,0.5,0.5,0.5,0.75,3,cat2
a232,0.75,1,0.75,0,3,cat2
a233,0.5,1,0.5,0.25,2,cat1
a234,0.5,0.5,0.75,0.75,2,cat1
a235,0.5,0.25,0,0.5,1,cat1
a236,0,0.75,1,0,0,cat1
a237,0.75,1,0.5,0.5,3,cat2
a238,0,0.75,1,0,3,cat2
a239,0.25,0,1,1,0,cat1
a240,0.5,1,0,0.75,2,cat1
a241,0.5,0.5,0.5,0.75,2,cat1
a242,0,0.5,0.25,0.5,1,cat1
a243,0,0.5,0.25,0.75,1,cat1
a244,0.75,0.75,0.75,0.25,2,cat1
a245,0.25,0.5,0.75,0,2,cat1
a246,0.5,0.5,1,0.25,2,cat1
a247,0.75,0.75,0,0.75,3,cat2
a248,1,0.5,0.75,0,3,cat2
a249,0.75,0.75,1,0.25,3,cat2
a250,1,0.75,1,0.75,3,cat2
a251,0,1,0.25,0.75,3,cat2
a252,0,1,1,1,4,cat2
a253,0.5,0.5,0.75,0.75,2,cat1
a254,0.25,0.25,1,0.5,1,cat1
a255,1,0.75,0.5,0,3,cat2
a256,0.25,0.5,0.75,0,2,cat1
a257,0.5,0,0.75,1,2,cat1
a258,0,0.25,0.5,0.75,1,cat1
a259,0,1,1,0.25,3,cat2
a260,0.75,1,0.5,0.5,4,cat2
a261,1,0.5,1,0.5,3,cat2
a262,0.5,1,0,0.75,3,cat2
a263,0.5,0.25,0.25,0.5,1,cat1
a264,0,1,0.25,0.75,0,cat1
a265,0.5,1,0,0.75,2,cat1
a266,0,0,0.25,1,1,cat1
a267,0.25,0.5,0,1,2,cat1
a268,0.25,0,0.75,0.25,0,cat1
a269,0.5,0.5,0.75,0.75,2,cat1
a270,0,0.5,1,1,2,cat1
a271,0.25,0,1,1,1,cat1
a272,1,0.75,0.5,0,3,cat2
a273,1,0.5,1,0.75,3,cat2
a274,0.5,0.5,0,1,0,cat1
a275,0.25,0.25,1,0.5,1,cat1
a276,0.5,0.75,0.5,1,3,cat2
a277,0.5,1,0.75,0.5,3,cat2
a278,0.75,0.25,0.5,0,2,cat1
a279,1,0.25,0,0.5,1,cat1
a280,0.5,1,0,0.75,3,cat2
a281,0,0.5,0.75,0.75,2,cat1
a282,0.5,1,0.25,0,2,cat1
a283,0.25,0,0.5,0,1,cat1
a284,0.75,1,0.75,0,2,cat1
a285,0,0.5,0.75,0.75,2,cat1
a286,0.25,0.5,0.5,0.25,1,cat1
a287,0,0.5,0.75,0.75,3,cat2
a288,0,0.75,1,0,2,cat1
a289,0.5,0.5,0.75,0.75,2,cat1
a290,0,1,1,1,1,cat1
a291,1,0.25,0.25,1,2,cat1
a292,1,0,1,0.25,2,cat1
a293,0,0.25,0.25,0,0,cat1
a294,0.75,0.5,0.5,0.5,2,cat1
a295,0.5,0.75,0.5,0.75,2,cat1
a296,0.75,0.75,1,0.25,3,cat2
a297,0.75,1,0.25,0.5,3,cat2
a298,1,0,1,0.75,4,cat2
a299,0,0,0.25,1,1,cat1
a300,1,0,1,0.25,2,cat1
a301,0.25,1,0.5,0.25,2,cat1
a302,1,0.75,1,0.75,3,cat2
a303,0.75,0,0.5,1,1,cat1
a304,0.5,0.25,0.5,0.75,2,cat1
a305,0.5,0.25,0.5,0,2,cat1
a306,0,0.75,1,0,1,cat1
a307,0.5,0.5,0.75,0.75,2,cat1
a308,1,0.25,0.75,0.25,2,cat1
a309,0.5,0.5,0.75,0.75,2,cat1
a310,0.5,1,0.25,0,2,cat1
a311,0,1,0.5,0.75,3,cat2
a312,0.25,0,0.5,0,1,cat1
a313,0.25,1,0,1,2,cat1
a314,0.75,0.75,0,0.75,2,cat1
a315,0,1,1,0.5,3,cat2
a316,0.5,0,0.5,0.5,1,cat1
a317,0.75,0.25,0.5,0.5,2,cat1
a318,0,0,0.75,0,0,cat1
a319,0.75,1,0.25,0.5,3,cat2
a320,0,1,1,0.25,2,cat1
a321,0,0,0.75,0,0,cat1
a322,1,0.5,1,0.5,2,cat1
a323,0.5,0,0.75,1,2,cat1
a324,0,1,0.25,0.75,2,cat1
a325,0.75,0.25,0.5,0,1,cat1
a326,0.5,1,0.5,0.25,3,cat2
a327,0.75,0.75,0.75,0.25,3,cat2
a328,1,0.25,0.75,0.25,2,cat1
a329,1,0.75,0.5,0,2,cat1
a330,0.5,0,0,0,0,cat1
a331,0.75,0,0.5,1,2,cat1
a332,1,0.5,1,0.75,3,cat2
a333,0.25,0,0.25,0.25,0,cat1
a334,0.25,0,0.5,0.5,1,cat1
a335,0.75,0.75,1,0.25,2,cat1
a336,0.5,0.75,0.5,0.75,2,cat1
a337,0.5,0.5,0.25,1,1,cat1
a338,0.5,1,1,1,3,cat2
a339,1,0.5,1,0.5,3,cat2
a340,0.5,0.5,0,0,1,cat1
a341,1,0.25,0.25,1,2,cat1
a342,1,0.75,1,0.75,4,cat2
a343,0,0.5,1,1,3,cat2
a344,0,0.25,0.5,0.75,2,cat1
a345,0.5,0.5,0.25,1,2,cat1
a346,0.75,1,1,0,3,cat2
a347,0.25,0.75,0,0.25,1,cat1
a348,0,0.75,0.75,0,0,cat1
a349,0,0.25,0.25,0,0,cat1
a350,1,0.25,0.75,0.25,3,cat2
a351,0,0.25,0.25,0,0,cat1
a352,0.5,1,0,0.75,2,cat1
a353,0.25,0,0.75,0.25,1,cat1
a354,0.5,1,0.25,0,2,cat1
a355,0.25,0.5,1,0.5,2,cat1
a356,0.5,0.75,1,0.5,3,cat2
a357,0.25,0,0.5,0.5,1,cat1
a358,0,0.5,0.25,0.75,1,cat1
a359,0.5,0.5,0,1,2,cat1
a360,0.5,0.25,0.5,0,1,cat1
a361,0.25,0.5,0,1,2,cat1
a362,0,0.5,0.25,0.5,2,cat1
a363,0.5,0.5,0.75,0.75,3,cat2
a364,0.75,0.75,0,0.75,3,cat2
a365,0,0.5,0.25,0.75,1,cat1
a366,0.25,0.25,1,0.5,2,cat1
a367,0.25,0.5,0.75,0.5,2,cat1
a368,0,1,1,0.5,2,cat1
a369,0,0.5,0.75,0.75,2,cat1
a370,0.5,1,0,0.75,3,cat2
a371,0,0.5,0.25,0.75,0,cat1
a372,0,0.5,0.25,0.75,1,cat1
a373,0,0.25,1,0.75,2,cat1
a374,0.5,1,0,0.75,3,cat2
a375,0,0.5,0.25,0.5,1,cat1
a376,1,0.25,0,0.5,1,cat1
a377,0,1,1,0.5,3,cat2
a378,0.5,0.25,0.5,0.75,2,cat1
a379,0,0,1,0,0,cat1
a380,0,0.75,0.5,1,2,cat1
a381,1,0.25,0.75,0.25,2,cat1
a382,0.75,0,0.5,1,2,cat1
