criterion;direction;;;;;
c1;1;;;;;
c2;1;;;;;
c3;1;;;;;
c4;1;;;;;
;;;;;;
category;rank;;;;;
cat1;1;;;;;
cat2;2;;;;;
cat3;3;;;;;
cat4;4;;;;;
cat5;5;;;;;
;;;;;;
pt;c1;c2;c3;c4;score;assignment
a1;1;0.5;0.75;0;3;cat4
a2;0.75;0.75;0;0.75;3;cat4
a3;0.5;1;0.25;0;2;cat3
a4;0.5;0.25;0.5;0.75;2;cat3
a5;0.5;0.75;1;0.5;2;cat3
a6;0;0.25;0.25;0;0;cat1
a7;0.25;0.5;0.5;0.25;2;cat3
a8;1;0.5;1;0.75;3;cat4
a9;0.75;0.75;0.75;0.25;2;cat3
a10;0;1;1;0.25;2;cat3
a11;0.5;1;0;0.75;4;cat5
a12;0.5;0.25;0.5;0;1;cat2
a13;0;0;1;0;0;cat1
a14;0.25;1;0.5;0.25;2;cat3
a15;1;0.5;0.75;0;2;cat3
a16;0;0.5;0;0;1;cat2
a17;1;0;0;0.5;2;cat3
a18;0.75;0.25;0.5;0.5;1;cat2
a19;0;0.5;0;0;0;cat1
a20;1;0;0.75;0;1;cat2
a21;0;1;1;0.25;3;cat4
a22;0;0.5;1;1;2;cat3
a23;0;1;1;1;3;cat4
a24;0;0.5;0.25;0.5;2;cat3
a25;0.5;0.5;0;1;2;cat3
a26;0.5;0.25;0.5;0;1;cat2
a27;0.5;0.5;0.5;0.75;2;cat3
a28;0.5;1;1;1;4;cat5
a29;0;0.5;0;0.25;1;cat2
a30;0.25;0.25;0.25;0.5;1;cat2
a31;1;0.75;0.5;0;2;cat3
a32;0;0.25;0.5;0.5;2;cat3
a33;0.5;0.5;0.25;1;2;cat3
a34;1;0.5;1;0.5;2;cat3
a35;0.25;0.25;0.25;0.5;1;cat2
a36;1;0.25;0.75;0.25;2;cat3
a37;0.75;1;0.25;0.5;4;cat5
a38;0.5;0.5;0;0;2;cat3
a39;1;0.5;0.75;0.25;1;cat2
a40;0.75;0.25;0.5;0;1;cat2
a41;0.25;0.25;1;0.25;1;cat2
a42;0.25;0.5;0;1;2;cat3
a43;0.5;0.5;0.5;0.75;2;cat3
a44;0.5;0.75;1;0.5;2;cat3
a45;1;0;0;1;1;cat2
a46;0.25;0.25;1;0.25;1;cat2
a47;1;0.25;0.25;1;3;cat4
a48;0.75;1;0.75;0;4;cat5
a49;0;0.5;0.25;0.5;1;cat2
a50;1;0.5;0.75;0;2;cat3
a51;0.25;0.5;0.75;0;1;cat2
a52;0.25;0;0.75;0.25;0;cat1
a53;1;0.5;0.75;0;3;cat4
a54;0.25;0;1;1;1;cat2
a55;1;0;1;0.75;4;cat5
a56;0.75;0.75;0;0.75;3;cat4
a57;0.25;0.25;0.25;0.5;1;cat2
a58;0.75;0;0.5;1;2;cat3
a59;0.75;0;0.5;1;1;cat2
a60;0.25;1;0.5;0.25;2;cat3
a61;0;0.5;0.25;0.75;1;cat2
a62;0.5;0.5;0.75;0.75;3;cat4
a63;0.25;0.75;0;0.25;1;cat2
a64;0.5;0.75;0.5;1;2;cat3
a65;0.5;0.75;0.5;1;3;cat4
a66;0.75;0.25;0.5;0.5;2;cat3
a67;0.5;1;0;0.75;2;cat3
a68;0.75;0.75;0;0.75;3;cat4
a69;0;1;1;0.5;1;cat2
a70;0.5;1;0;0.75;3;cat4
a71;0.25;0.5;0.75;0.5;2;cat3
a72;0.5;0.75;0.5;1;4;cat5
a73;0.5;0;0;0;0;cat1
a74;0.5;0.25;0.5;0;1;cat2
a75;1;0;0.75;0;2;cat3
a76;0.75;0.25;0.25;0;0;cat1
a77;0.25;0;0.5;0.5;0;cat1
a78;1;0;0;0.5;2;cat3
a79;0.25;0.25;1;0.25;1;cat2
a80;0.5;0.25;0.25;0.5;1;cat2
a81;0.5;0.5;0;1;2;cat3
a82;0;0.5;0;0.25;1;cat2
a83;0;0.5;0.25;0.5;2;cat3
a84;0.25;0.5;1;0.5;2;cat3
a85;0;0.5;0;0.25;0;cat1
a86;1;0.75;0.5;0;2;cat3
a87;0.25;0.75;0;0.25;1;cat2
a88;0.5;0;0;0;0;cat1
a89;1;0;1;0.75;3;cat4
a90;0.5;0.5;0.75;0.75;2;cat3
a91;0;0.5;0.75;0.75;1;cat2
a92;0;0.5;0.25;0.75;1;cat2
a93;0.75;0.75;1;0.25;3;cat4
a94;0.25;0.5;0;1;2;cat3
a95;0.5;0.5;0.75;0.5;2;cat3
a96;0.75;0.25;0.5;0.5;2;cat3
a97;0.5;1;0.5;0.25;3;cat4
a98;0;0.25;0.5;0.5;1;cat2
a99;0.5;0.75;0.5;0.75;3;cat4
a100;0.5;1;0;0.75;3;cat4
a101;0.25;0.25;0.25;0.5;0;cat1
a102;0;0.75;0.75;0;3;cat4
a103;0;0.5;0;0;1;cat2
a104;0.5;0.75;0.5;1;2;cat3
a105;0.5;0.5;0.25;1;2;cat3
a106;0.5;0.5;0.75;0.75;1;cat2
a107;0;0.75;0.75;0;1;cat2
a108;0.5;0.5;0.75;0.75;2;cat3
a109;1;0.25;0;0.5;2;cat3
a110;0.75;1;0.5;0.5;1;cat2
a111;0;1;0.5;0.75;3;cat4
a112;0;0;1;0;0;cat1
a113;1;0.25;0.75;0.25;2;cat3
a114;0;0.75;0.5;1;2;cat3
a115;0.5;1;1;1;3;cat4
a116;0;0.75;1;1;2;cat3
a117;0.5;1;0;0.75;2;cat3
a118;0.5;0.5;0.75;0.75;2;cat3
a119;0.5;0.5;0.75;0.75;2;cat3
a120;0.5;1;0.75;0.5;3;cat4
a121;0.5;0.25;0.5;0.75;2;cat3
a122;0.5;0.25;0.5;0.75;1;cat2
a123;1;0.5;1;0.5;3;cat4
a124;0.5;1;0;0.5;2;cat3
a125;0;0.5;0.25;0.5;1;cat2
a126;0.25;0.5;0.75;0.5;2;cat3
a127;0.25;1;0;1;3;cat4
a128;0;0;0.25;1;1;cat2
a129;1;0;1;0.75;3;cat4
a130;0.75;1;0.5;0.5;2;cat3
a131;0.5;0.5;0;0;1;cat2
a132;0.25;0;0.75;0.25;0;cat1
a133;1;0.25;0.25;1;1;cat2
a134;1;0.5;1;0.5;3;cat4
a135;0.5;1;0.25;0;2;cat3
a136;1;0;0;0.5;2;cat3
a137;0;1;1;1;3;cat4
a138;0.5;0.5;0;1;2;cat3
a139;1;0.25;0.75;0.25;2;cat3
a140;0;0.75;1;0;1;cat2
a141;1;0.25;0;0.5;1;cat2
a142;0.25;0.25;0.25;0.5;1;cat2
a143;0.5;0;0;0;0;cat1
a144;0;1;0.5;0.75;2;cat3
a145;0.75;0.25;0.25;0;1;cat2
a146;0.5;1;0;0.75;3;cat4
a147;1;0.75;1;0.75;3;cat4
a148;0.5;1;0.75;0.5;3;cat4
a149;0;0.25;0.25;0;0;cat1
a150;1;0.5;1;0.75;3;cat4
a151;0;0;0.25;1;0;cat1
a152;0.5;0.25;0.25;0.5;1;cat2
a153;0.5;0.5;0;1;2;cat3
a154;0;0.5;0;0;1;cat2
a155;0.75;0.75;0;0.75;3;cat4
a156;0.75;0.25;0.5;0;1;cat2
a157;0.5;0.5;0;0;2;cat3
a158;0.25;0;0.75;0.25;1;cat2
a159;0.25;0.75;0;0.25;2;cat3
a160;1;0.25;0;0.5;2;cat3
a161;0.25;0.5;0;1;1;cat2
a162;0.25;0.5;0.75;0.5;2;cat3
a163;0.5;0;1;0.75;3;cat4
a164;0.5;0;1;0.75;2;cat3
a165;0.25;0.25;1;0.25;1;cat2
a166;0.25;0;0.5;0.5;1;cat2
a167;0.25;0.5;0.5;0.25;2;cat3
a168;1;0;0;1;1;cat2
a169;0.75;0.25;0.5;0.5;2;cat3
a170;0.5;1;0;0.5;2;cat3
a171;0.25;0.25;0.25;0.5;1;cat2
a172;0.75;0.75;1;0.25;3;cat4
a173;0.25;0.5;0.75;0;1;cat2
a174;0;0.75;0.75;0;2;cat3
a175;0.75;0.25;0.5;0;1;cat2
a176;1;0.25;0.75;0.25;1;cat2
a177;0.25;0.25;1;0.5;1;cat2
a178;0.75;0.25;0.5;0.5;1;cat2
a179;1;0;0;0.5;1;cat2
a180;0;0.5;0.25;0.5;1;cat2
a181;0;0;0.25;1;1;cat2
a182;1;0;1;0.25;0;cat1
a183;0;0.5;0;0;1;cat2
a184;0;0.25;1;0.75;1;cat2
a185;0.75;1;1;0;3;cat4
a186;0.5;0.75;0.5;1;2;cat3
a187;0.75;1;0.75;0;4;cat5
a188;0.5;0.75;0.5;0.75;2;cat3
a189;0;0.5;0;0;1;cat2
a190;1;0.25;0.25;1;2;cat3
a191;0.25;0;0.5;0.5;1;cat2
a192;0;0.5;0;0;1;cat2
a193;0.5;1;0.5;0.25;1;cat2
a194;0.5;1;0.5;0.25;2;cat3
a195;0.25;0.5;0.5;0.25;1;cat2
a196;0.25;0.25;1;0.25;0;cat1
a197;0;0;0.75;0;0;cat1
a198;0.5;0.5;0;1;2;cat3
a199;0.5;1;0.75;0.5;3;cat4
a200;0;1;1;0.5;3;cat4
a201;0.5;0.5;0;1;2;cat3
a202;0.75;0.75;0.75;0.25;2;cat3
a203;0.5;0.5;0.75;0.75;2;cat3
a204;0.5;1;0.75;0.5;3;cat4
a205;0.5;0.5;0.75;0.5;2;cat3
a206;0;1;1;1;3;cat4
a207;0.5;0.75;0.5;1;2;cat3
a208;1;0.5;0.75;0;3;cat4
a209;0.5;1;0.75;0.5;0;cat1
a210;0.5;0.25;0.5;0.75;1;cat2
a211;0.25;0.5;0.75;0.5;2;cat3
a212;1;0;0;1;1;cat2
a213;0.75;0;0.5;1;1;cat2
a214;1;0;1;0.75;4;cat5
a215;0.25;0.75;0;0.25;1;cat2
a216;0;0.75;1;0;2;cat3
a217;0.5;0;1;0.75;2;cat3
a218;1;0.75;0.5;0;3;cat4
a219;1;0.5;0.75;0.25;2;cat3
a220;0.75;0.75;0;0.5;3;cat4
a221;0.5;0.75;0.5;0.75;3;cat4
a222;0.25;0;0.25;0.75;1;cat2
a223;0.5;0.25;0.25;0.5;1;cat2
a224;0;1;0.5;0.75;0;cat1
a225;0.25;0.5;0.75;0;1;cat2
a226;0;0.5;0;0.25;1;cat2
a227;0;0.25;0.5;0.5;1;cat2
a228;0.25;0;1;1;4;cat5
a229;0.75;0.75;0;0.5;2;cat3
a230;0;0.5;0.25;0.75;1;cat2
a231;0.5;0.5;0.5;0.75;3;cat4
a232;0.75;1;0.75;0;3;cat4
a233;0.5;1;0.5;0.25;2;cat3
a234;0.5;0.5;0.75;0.75;2;cat3
a235;0.5;0.25;0;0.5;1;cat2
a236;0;0.75;1;0;0;cat1
a237;0.75;1;0.5;0.5;3;cat4
a238;0;0.75;1;0;3;cat4
a239;0.25;0;1;1;0;cat1
a240;0.5;1;0;0.75;2;cat3
a241;0.5;0.5;0.5;0.75;2;cat3
a242;0;0.5;0.25;0.5;1;cat2
a243;0;0.5;0.25;0.75;1;cat2
a244;0.75;0.75;0.75;0.25;2;cat3
a245;0.25;0.5;0.75;0;2;cat3
a246;0.5;0.5;1;0.25;2;cat3
a247;0.75;0.75;0;0.75;3;cat4
a248;1;0.5;0.75;0;3;cat4
a249;0.75;0.75;1;0.25;3;cat4
a250;1;0.75;1;0.75;3;cat4
a251;0;1;0.25;0.75;3;cat4
a252;0;1;1;1;4;cat5
a253;0.5;0.5;0.75;0.75;2;cat3
a254;0.25;0.25;1;0.5;1;cat2
a255;1;0.75;0.5;0;3;cat4
a256;0.25;0.5;0.75;0;2;cat3
a257;0.5;0;0.75;1;2;cat3
a258;0;0.25;0.5;0.75;1;cat2
a259;0;1;1;0.25;3;cat4
a260;0.75;1;0.5;0.5;4;cat5
a261;1;0.5;1;0.5;3;cat4
a262;0.5;1;0;0.75;3;cat4
a263;0.5;0.25;0.25;0.5;1;cat2
a264;0;1;0.25;0.75;0;cat1
a265;0.5;1;0;0.75;2;cat3
a266;0;0;0.25;1;1;cat2
a267;0.25;0.5;0;1;2;cat3
a268;0.25;0;0.75;0.25;0;cat1
a269;0.5;0.5;0.75;0.75;2;cat3
a270;0;0.5;1;1;2;cat3
a271;0.25;0;1;1;1;cat2
a272;1;0.75;0.5;0;3;cat4
a273;1;0.5;1;0.75;3;cat4
a274;0.5;0.5;0;1;0;cat1
a275;0.25;0.25;1;0.5;1;cat2
a276;0.5;0.75;0.5;1;3;cat4
a277;0.5;1;0.75;0.5;3;cat4
a278;0.75;0.25;0.5;0;2;cat3
a279;1;0.25;0;0.5;1;cat2
a280;0.5;1;0;0.75;3;cat4
a281;0;0.5;0.75;0.75;2;cat3
a282;0.5;1;0.25;0;2;cat3
a283;0.25;0;0.5;0;1;cat2
a284;0.75;1;0.75;0;2;cat3
a285;0;0.5;0.75;0.75;2;cat3
a286;0.25;0.5;0.5;0.25;1;cat2
a287;0;0.5;0.75;0.75;3;cat4
a288;0;0.75;1;0;2;cat3
a289;0.5;0.5;0.75;0.75;2;cat3
a290;0;1;1;1;1;cat2
a291;1;0.25;0.25;1;2;cat3
a292;1;0;1;0.25;2;cat3
a293;0;0.25;0.25;0;0;cat1
a294;0.75;0.5;0.5;0.5;2;cat3
a295;0.5;0.75;0.5;0.75;2;cat3
a296;0.75;0.75;1;0.25;3;cat4
a297;0.75;1;0.25;0.5;3;cat4
a298;1;0;1;0.75;4;cat5
a299;0;0;0.25;1;1;cat2
a300;1;0;1;0.25;2;cat3
a301;0.25;1;0.5;0.25;2;cat3
a302;1;0.75;1;0.75;3;cat4
a303;0.75;0;0.5;1;1;cat2
a304;0.5;0.25;0.5;0.75;2;cat3
a305;0.5;0.25;0.5;0;2;cat3
a306;0;0.75;1;0;1;cat2
a307;0.5;0.5;0.75;0.75;2;cat3
a308;1;0.25;0.75;0.25;2;cat3
a309;0.5;0.5;0.75;0.75;2;cat3
a310;0.5;1;0.25;0;2;cat3
a311;0;1;0.5;0.75;3;cat4
a312;0.25;0;0.5;0;1;cat2
a313;0.25;1;0;1;2;cat3
a314;0.75;0.75;0;0.75;2;cat3
a315;0;1;1;0.5;3;cat4
a316;0.5;0;0.5;0.5;1;cat2
a317;0.75;0.25;0.5;0.5;2;cat3
a318;0;0;0.75;0;0;cat1
a319;0.75;1;0.25;0.5;3;cat4
a320;0;1;1;0.25;2;cat3
a321;0;0;0.75;0;0;cat1
a322;1;0.5;1;0.5;2;cat3
a323;0.5;0;0.75;1;2;cat3
a324;0;1;0.25;0.75;2;cat3
a325;0.75;0.25;0.5;0;1;cat2
a326;0.5;1;0.5;0.25;3;cat4
a327;0.75;0.75;0.75;0.25;3;cat4
a328;1;0.25;0.75;0.25;2;cat3
a329;1;0.75;0.5;0;2;cat3
a330;0.5;0;0;0;0;cat1
a331;0.75;0;0.5;1;2;cat3
a332;1;0.5;1;0.75;3;cat4
a333;0.25;0;0.25;0.25;0;cat1
a334;0.25;0;0.5;0.5;1;cat2
a335;0.75;0.75;1;0.25;2;cat3
a336;0.5;0.75;0.5;0.75;2;cat3
a337;0.5;0.5;0.25;1;1;cat2
a338;0.5;1;1;1;3;cat4
a339;1;0.5;1;0.5;3;cat4
a340;0.5;0.5;0;0;1;cat2
a341;1;0.25;0.25;1;2;cat3
a342;1;0.75;1;0.75;4;cat5
a343;0;0.5;1;1;3;cat4
a344;0;0.25;0.5;0.75;2;cat3
a345;0.5;0.5;0.25;1;2;cat3
a346;0.75;1;1;0;3;cat4
a347;0.25;0.75;0;0.25;1;cat2
a348;0;0.75;0.75;0;0;cat1
a349;0;0.25;0.25;0;0;cat1
a350;1;0.25;0.75;0.25;3;cat4
a351;0;0.25;0.25;0;0;cat1
a352;0.5;1;0;0.75;2;cat3
a353;0.25;0;0.75;0.25;1;cat2
a354;0.5;1;0.25;0;2;cat3
a355;0.25;0.5;1;0.5;2;cat3
a356;0.5;0.75;1;0.5;3;cat4
a357;0.25;0;0.5;0.5;1;cat2
a358;0;0.5;0.25;0.75;1;cat2
a359;0.5;0.5;0;1;2;cat3
a360;0.5;0.25;0.5;0;1;cat2
a361;0.25;0.5;0;1;2;cat3
a362;0;0.5;0.25;0.5;2;cat3
a363;0.5;0.5;0.75;0.75;3;cat4
a364;0.75;0.75;0;0.75;3;cat4
a365;0;0.5;0.25;0.75;1;cat2
a366;0.25;0.25;1;0.5;2;cat3
a367;0.25;0.5;0.75;0.5;2;cat3
a368;0;1;1;0.5;2;cat3
a369;0;0.5;0.75;0.75;2;cat3
a370;0.5;1;0;0.75;3;cat4
a371;0;0.5;0.25;0.75;0;cat1
a372;0;0.5;0.25;0.75;1;cat2
a373;0;0.25;1;0.75;2;cat3
a374;0.5;1;0;0.75;3;cat4
a375;0;0.5;0.25;0.5;1;cat2
a376;1;0.25;0;0.5;1;cat2
a377;0;1;1;0.5;3;cat4
a378;0.5;0.25;0.5;0.75;2;cat3
a379;0;0;1;0;0;cat1
a380;0;0.75;0.5;1;2;cat3
a381;1;0.25;0.75;0.25;2;cat3
