criterion;direction;;;;;
c1;1;;;;;
c2;1;;;;;
c3;1;;;;;
c4;1;;;;;
c5;1;;;;;
;;;;;;
category;rank;;;;;
1;1;;;;;
0;2;;;;;
;;;;;;
pt;c1;c2;c3;c4;c5;assignment
a1;0.090909;0.628205;0.666667;1;0.666667;1
a2;0.090909;0.512821;1;1;0.666667;1
a3;0.072727;0.128205;0;0;0.666667;0
a4;0.090909;0.5;0;1;0.666667;1
a5;0.090909;0.74359;0;0.75;0.666667;1
a6;0.054545;0.307692;0.333333;0;0.666667;1
a7;0.072727;0.230769;0.666667;0;0.333333;0
a8;0.072727;0.538462;0.333333;0;0.333333;0
a9;0.072727;0.461538;0;0;0.666667;0
a10;0.054545;0.435897;0.666667;0.75;0.666667;0
a11;0.072727;0.525641;0.333333;0;0.666667;1
a12;0.072727;0.461538;0;0;0.666667;1
a13;0.090909;0.487179;1;0.5;0;1
a14;0.090909;0.307692;1;0.75;0.666667;1
a15;0.072727;0.525641;0.333333;0.75;0.666667;1
a16;0.090909;0.730769;1;1;0.666667;1
a17;0.090909;0.346154;1;1;0.666667;1
a18;0.090909;0.474359;1;0.75;0.666667;0
a19;0.072727;0.358974;0;1;0.333333;0
a20;0.090909;0.461538;1;0.75;0.666667;1
a21;0.090909;0.5;1;0.75;0.666667;1
a22;0.072727;0.269231;0;0;0.333333;0
a23;0.072727;0.807692;0;0;0.666667;0
a24;0.072727;0.538462;0.333333;0;0.666667;0
a25;0.090909;0.628205;0.666667;0.75;0.333333;1
a26;0.072727;0.474359;0.666667;0.75;0.333333;0
a27;0.072727;0.769231;0;0;0;0
a28;0.072727;0.410256;0;0;0.666667;0
a29;0.090909;0.564103;0.666667;1;0.333333;1
a30;0.090909;0.589744;1;1;0.666667;1
a31;0.090909;0.628205;1;1;0.666667;1
a32;0.072727;0.717949;0.333333;0;0.333333;0
a33;0.090909;0.794872;0.666667;1;0.666667;1
a34;0.072727;0.397436;0.333333;0;0;0
a35;0.090909;0.435897;1;0.5;0.666667;1
a36;0.090909;0.538462;1;0.5;0.666667;1
a37;0.072727;0.5;0.333333;1;0.666667;0
a38;0.090909;0.717949;1;0.75;0.666667;1
a39;0.072727;0.397436;0;0;0.666667;0
a40;0.072727;0.346154;0.333333;0;0.666667;0
a41;0.072727;0.589744;0.333333;0;0.666667;0
a42;0.072727;0.705128;0.333333;0;0.333333;0
a43;0.090909;0.641026;1;0.5;0.666667;1
a44;0.090909;0.435897;1;1;0.666667;0
a45;0.090909;0.615385;1;0.75;0.666667;1
a46;0.072727;0.089744;0;0;0.666667;0
a47;0.090909;0.717949;0;0;0.333333;1
a48;0.072727;0.589744;0;0;0.666667;0
a49;0.090909;0.538462;1;0.5;0.333333;1
a50;0.090909;0.628205;0.333333;0.75;0;0
a51;0.072727;0.628205;1;1;0.666667;0
a52;0.090909;0.333333;1;0.75;0.333333;1
a53;0.054545;0.641026;0;0;0.666667;1
a54;0.090909;0.512821;1;0.75;0.666667;1
a55;0.090909;0.564103;0;1;0.666667;1
a56;0.072727;0.705128;0.666667;0.75;0.666667;1
a57;0.072727;0.794872;1;0.75;0.666667;1
a58;0.090909;0.525641;0.333333;0;0.666667;1
a59;0.090909;0.461538;1;0.75;0.666667;1
a60;0.090909;0.564103;1;0.75;0.666667;0
a61;0.072727;0.192308;0.333333;0;0.666667;0
a62;0.072727;0.5;0;0;0.666667;0
a63;0.072727;0.346154;1;0.75;0.666667;0
a64;0.090909;0.679487;1;0.75;0.666667;1
a65;0.090909;0.525641;1;0.75;0.333333;0
